seed,method,slot,physical_method,status,valid,throughput_tps,p99_ms,best_throughput_tps,minimum_p99_ms,hypervolume,within_seed_position
88408573,random,1,random,COMPLETED,true,2582.436224,29.30718999999994,2582.436224,29.30718999999994,27613.49988034959,4
88408573,random,2,random,COMPLETED,true,2554.505868,28.892,2582.436224,28.892,28674.105171684365,5
88408573,random,3,random,COMPLETED,true,2930.716271,28.494,2930.716271,28.494,33720.821414125996,8
88408573,random,4,random,COMPLETED,true,2996.622873,26.102,2996.622873,26.102,41647.06468895399,11
88408573,random,5,random,COMPLETED,true,2855.644779,27.552590000000084,2996.622873,26.102,41647.06468895399,14
88408573,random,6,random,COMPLETED,true,2562.098978,30.732,2996.622873,26.102,41647.06468895399,17
88408573,random,7,random,COMPLETED,true,2580.217933,32.27881999999867,2996.622873,26.102,41647.06468895399,20
88408573,random,8,random,COMPLETED,true,2600.717156,28.875,2996.622873,26.102,41647.06468895399,24
88408573,random,9,random,COMPLETED,true,2562.74573,33.15395999999997,2996.622873,26.102,41647.06468895399,28
88408573,random,10,random,COMPLETED,true,2682.877312,34.948,2996.622873,26.102,41647.06468895399,30
88408573,random,11,random,COMPLETED,true,2531.516387,29.906,2996.622873,26.102,41647.06468895399,32
88408573,random,12,random,COMPLETED,true,2891.263078,28.268,2996.622873,26.102,41647.06468895399,37
88408573,random,13,random,COMPLETED,true,2512.693561,29.542,2996.622873,26.102,41647.06468895399,39
88408573,random,14,random,COMPLETED,true,2864.87287,28.071,2996.622873,26.102,41647.06468895399,44
88408573,random,15,random,COMPLETED,true,2762.450124,28.275119999999877,2996.622873,26.102,41647.06468895399,50
88408573,random,16,random,COMPLETED,true,2849.050616,28.165,2996.622873,26.102,41647.06468895399,56
88408573,random,17,random,COMPLETED,true,2458.753595,31.662830000000074,2996.622873,26.102,41647.06468895399,62
88408573,random,18,random,COMPLETED,true,2856.008346,27.965,2996.622873,26.102,41647.06468895399,67
88408573,random,19,random,COMPLETED,true,2697.739882,29.81137999999989,2996.622873,26.102,41647.06468895399,71
88408573,random,20,random,COMPLETED,true,2985.428681,27.549199999999953,2996.622873,26.102,41647.06468895399,78
88408573,random,21,random,COMPLETED,true,2480.054649,31.967399999999905,2996.622873,26.102,41647.06468895399,80
88408573,random,22,random,COMPLETED,true,2581.377802,37.7281399999999,2996.622873,26.102,41647.06468895399,89
88408573,random,23,random,COMPLETED,true,2493.6568,32.06327000000025,2996.622873,26.102,41647.06468895399,90
88408573,random,24,random,COMPLETED,true,2435.620894,29.802,2996.622873,26.102,41647.06468895399,96
88408573,random,25,random,COMPLETED,true,2475.373634,32.42910000000009,2996.622873,26.102,41647.06468895399,102
88408573,random,26,random,COMPLETED,true,2896.980689,27.878260000000008,2996.622873,26.102,41647.06468895399,110
88408573,random,27,random,COMPLETED,true,2458.477894,37.35744999999995,2996.622873,26.102,41647.06468895399,113
88408573,random,28,random,COMPLETED,true,2754.311674,32.50423999999976,2996.622873,26.102,41647.06468895399,120
88408573,random,29,random,COMPLETED,true,2439.59495,37.92233999999985,2996.622873,26.102,41647.06468895399,121
88408573,random,30,random,COMPLETED,true,2443.200638,30.767429999999933,2996.622873,26.102,41647.06468895399,128
88408573,sobol,1,sobol,COMPLETED,true,2953.384896,27.289,2953.384896,27.289,37540.475413055996,2
88408573,sobol,2,sobol,COMPLETED,true,2639.854608,29.658,2953.384896,27.289,37540.475413055996,6
88408573,sobol,3,sobol,COMPLETED,true,2559.112046,28.48552000000002,2953.384896,27.289,37540.475413055996,9
88408573,sobol,4,sobol,COMPLETED,true,2964.04129,27.081790000000037,2964.04129,27.081790000000037,38290.10783289079,13
88408573,sobol,5,sobol,COMPLETED,true,3070.563978,27.509,3070.563978,27.081790000000037,39620.68272869879,16
88408573,sobol,6,sobol,COMPLETED,true,2536.193534,29.035,3070.563978,27.081790000000037,39620.68272869879,18
88408573,sobol,7,sobol,COMPLETED,true,2543.386418,29.167290000000037,3070.563978,27.081790000000037,39620.68272869879,21
88408573,sobol,8,sobol,COMPLETED,true,2601.153772,33.355,3070.563978,27.081790000000037,39620.68272869879,25
88408573,sobol,9,sobol,COMPLETED,true,2748.791875,29.187,3070.563978,27.081790000000037,39620.68272869879,27
88408573,sobol,10,sobol,COMPLETED,true,2520.5533,29.245,3070.563978,27.081790000000037,39620.68272869879,31
88408573,sobol,11,sobol,COMPLETED,true,2538.666805,32.805,3070.563978,27.081790000000037,39620.68272869879,33
88408573,sobol,12,sobol,COMPLETED,true,2939.457269,29.074,3070.563978,27.081790000000037,39620.68272869879,36
88408573,sobol,13,sobol,COMPLETED,true,2579.462239,34.636,3070.563978,27.081790000000037,39620.68272869879,41
88408573,sobol,14,sobol,COMPLETED,true,2509.095712,31.725,3070.563978,27.081790000000037,39620.68272869879,48
88408573,sobol,15,sobol,COMPLETED,true,2475.531021,30.794,3070.563978,27.081790000000037,39620.68272869879,51
88408573,sobol,16,sobol,COMPLETED,true,2962.402708,27.82677000000002,3070.563978,27.081790000000037,39620.68272869879,58
88408573,sobol,17,sobol,COMPLETED,true,2383.173061,41.535429999999934,3070.563978,27.081790000000037,39620.68272869879,63
88408573,sobol,18,sobol,COMPLETED,true,2723.118389,30.467,3070.563978,27.081790000000037,39620.68272869879,69
88408573,sobol,19,sobol,COMPLETED,true,2928.527474,28.849,3070.563978,27.081790000000037,39620.68272869879,73
88408573,sobol,20,sobol,COMPLETED,true,2538.589246,34.732,3070.563978,27.081790000000037,39620.68272869879,75
88408573,sobol,21,sobol,COMPLETED,true,2548.82575,30.261949999999953,3070.563978,27.081790000000037,39620.68272869879,83
88408573,sobol,22,sobol,COMPLETED,true,2555.321575,33.74224999999954,3070.563978,27.081790000000037,39620.68272869879,85
88408573,sobol,23,sobol,COMPLETED,true,2803.618201,30.382810000000056,3070.563978,27.081790000000037,39620.68272869879,93
