seed,valid,p99_ms,status,throughput_tps,within_seed_position
88408573,true,28.182,COMPLETED,2980.274466,1
88408573,true,28.972,COMPLETED,2857.862726,34
88408573,true,28.796689999999945,COMPLETED,2883.837829,66
88408573,true,29.9,COMPLETED,2852.514825,99
88408573,true,32.00597999999998,COMPLETED,2776.854758,131
642754166,true,28.09360999999987,COMPLETED,2945.208639,1
642754166,true,28.369800000000048,COMPLETED,2915.982702,34
642754166,true,30.077979999999982,COMPLETED,2860.769409,66
642754166,true,29.849639999999898,COMPLETED,2890.879576,99
642754166,true,29.663200000000188,COMPLETED,2805.765793,131
740267717,true,30.55625,COMPLETED,2800.627157,1
740267717,true,28.423,COMPLETED,2905.601753,34
740267717,true,30.678090000000083,COMPLETED,2858.191954,66
740267717,true,31.492429999999935,COMPLETED,2802.046134,99
740267717,true,40.31081000000006,COMPLETED,2716.952284,131
1418705027,true,30.743139999999897,COMPLETED,2829.784176,1
1418705027,true,28.888,COMPLETED,2946.217047,34
1418705027,true,28.272,COMPLETED,2898.937999,66
1418705027,true,30.663259999999777,COMPLETED,2818.619382,99
1418705027,true,27.496369999999878,COMPLETED,2938.261122,131
1902413987,true,27.88,COMPLETED,2935.228977,1
1902413987,true,31.9906799999997,COMPLETED,2829.693182,34
1902413987,true,30.911559999999593,COMPLETED,2870.934324,66
1902413987,true,28.287,COMPLETED,2908.102746,99
1902413987,true,32.569479999999515,COMPLETED,2838.927858,131
